2026-01-06 12:15:29 | SESSION=anonymou... | MEETING=N/A | DOC_TYPE=ALL | QUERY=controls failed during the Q4 SOX testing?
2026-01-06 12:16:21 | SESSION=anonymou... | MEETING=N/A | DOC_TYPE=ALL | QUERY=controls failed during the Q4 SOX testing?
2026-01-06 12:17:16 | SESSION=anonymou... | MEETING=N/A | DOC_TYPE=ALL | QUERY=controls failed during the Q4 SOX testing?
2026-01-06 12:17:58 | SESSION=anonymou... | MEETING=N/A | DOC_TYPE=ALL | QUERY=controls failed during the Q4 SOX testing?
2026-01-06 12:18:11 | SESSION=anonymou... | MEETING=N/A | DOC_TYPE=ALL | QUERY=controls failed during the Q4 SOX testing?
2026-01-06 12:19:49 | SESSION=anonymou... | MEETING=N/A | DOC_TYPE=ALL | QUERY=ESG disclosure circular and proposed amendments?
2026-01-06 15:53:06 | SESSION=anonymou... | MEETING=N/A | DOC_TYPE=ALL | QUERY=SOX compliance percentage achieved in Q4?
2026-01-06 15:54:54 | SESSION=anonymou... | MEETING=N/A | DOC_TYPE=ALL | QUERY=SOX compliance percentage achieved in Q4?
2026-01-06 15:55:10 | SESSION=anonymou... | MEETING=N/A | DOC_TYPE=ALL | QUERY=controls failed during the Q4 SOX testing?
2026-01-06 15:56:34 | SESSION=anonymou... | MEETING=N/A | DOC_TYPE=ALL | QUERY=ESG disclosure circular and proposed amendments?
2026-01-06 16:07:10 | SESSION=7125a3ae... | MEETING=N/A | DOC_TYPE=ALL | QUERY=ESG disclosure circular and proposed amendments?
2026-01-06 16:11:50 | SESSION=7125a3ae... | MEETING=N/A | DOC_TYPE=ALL | QUERY=ESG disclosure circular and proposed amendments?
2026-01-06 17:18:23 | SESSION=7125a3ae... | MEETING=N/A | DOC_TYPE=ALL | QUERY=controls failed during the Q4 SOX testing?
2026-01-06 17:20:12 | SESSION=7125a3ae... | MEETING=N/A | DOC_TYPE=ALL | QUERY=controls failed during the Q4 SOX testing?
2026-01-06 17:20:16 | SESSION=7125a3ae... | MEETING=N/A | DOC_TYPE=ALL | QUERY=SOX compliance percentage achieved in Q4?
2026-01-06 17:21:50 | SESSION=7125a3ae... | MEETING=N/A | DOC_TYPE=ALL | QUERY=ESG disclosure circular and proposed amendments?
2026-01-06 17:32:29 | SESSION=e409ca9f... | MEETING=N/A | DOC_TYPE=ALL | QUERY=ESG disclosure circular and proposed amendments?
2026-01-06 17:32:34 | SESSION=anonymou... | MEETING=N/A | DOC_TYPE=ALL | QUERY=SOX compliance percentage achieved in Q4?
2026-01-06 17:32:49 | SESSION=anonymou... | MEETING=N/A | DOC_TYPE=ALL | QUERY=ESG disclosure circular and proposed amendments?
2026-01-06 17:32:56 | SESSION=e409ca9f... | MEETING=N/A | DOC_TYPE=ALL | QUERY=ESG disclosure circular and proposed amendments?
2026-01-06 17:33:09 | SESSION=e409ca9f... | MEETING=N/A | DOC_TYPE=ALL | QUERY=ESG disclosure circular and proposed amendments?
2026-01-06 17:33:29 | SESSION=e409ca9f... | MEETING=N/A | DOC_TYPE=ALL | QUERY=SOX compliance percentage achieved in Q4?
2026-01-06 17:33:35 | SESSION=e409ca9f... | MEETING=N/A | DOC_TYPE=ALL | QUERY=controls failed during the Q4 SOX testing?
2026-01-06 17:33:38 | SESSION=e409ca9f... | MEETING=N/A | DOC_TYPE=ALL | QUERY=ESG disclosure circular and proposed amendments?
2026-01-06 17:33:58 | SESSION=e409ca9f... | MEETING=N/A | DOC_TYPE=ALL | QUERY=ESG disclosure circular and proposed amendments?
2026-01-06 17:34:22 | SESSION=anonymou... | MEETING=N/A | DOC_TYPE=ALL | QUERY=SOX compliance percentage achieved in Q4?
2026-01-07 08:44:01 | SESSION=a4257975... | MEETING=N/A | DOC_TYPE=ALL | QUERY=Give agenda for the meeting Implementation and Planning Strategy
2026-01-07 08:49:57 | SESSION=a4257975... | MEETING=N/A | DOC_TYPE=ALL | QUERY=Give agenda for the meeting Implementation and Planning Strategy
2026-01-07 08:53:25 | SESSION=a4257975... | MEETING=N/A | DOC_TYPE=ALL | QUERY=2025 STRATEGY and Q1 REVIEW MEETING
2026-01-07 09:02:06 | SESSION=a4257975... | MEETING=N/A | DOC_TYPE=ALL | QUERY=2025 STRATEGY and Q1 REVIEW MEETING
